,0,1,2,3,4,5,6,7,8,9,10
HBV00000AX6LR,HBV00000AX6LR,ZYHPFERROBCK001,ZYBAN860031,ZYBAN8690555730198,ZYBAR0869057999061,ZYBAR0869057999063,ZYCOCA2254,ZYHEN100704960,ZYHPDROETTIC303,ZYHPREISBBKL009,OFISMAS810
HBV00000BSAQG,HBV00000BSAQG,HBV00000BLJBQ,PTLITT-08,HBV00000BSAQC,HBV00000PV5X8,SGUNI21008764,HBV00000NFHJZ,HBV00000NGXEX,HBV00000SPBKT,HBV00000OE7GM,HBV00000SP6YX
HBV00000JUHBA,HBV00000JUHBA,HBV00000IKIEA,HBV00000IFZG2,HBV00000NG8KO,HBV00000JUHB6,HBV00000PQLNP,SGLOREEXC-70,HBV000000EE9G,HBV00000NFMNF,HBV00000SP6W3,HBV00000JUHBM
HBV00000NE0QI,HBV00000NE0QI,HBV00000NE1DY,HBV00000SP6XH,HBV00000NE1RG,HBV00000PQIYR,HBV00000NE0YM,HBV00000U27KY,HBV00000U27OX,HBV00000QX1YA,HBV00000PQLGP,HBV00000PQLMD
HBV00000NE0UQ,HBV00000NE0UQ,HBV00000PQP6N,HBV00000PVC8L,HBV00000NE0Z4,OFISBIC901758,HBV00000BP0LA,HBV00000PQJAH,HBV00000U277R,HBV00000QS9J9,HBV00000PQJFZ,HBV00000KKTBM
HBV00000NE1NR,HBV00000NE1NR,HBV00000NE15T,HBV00000SPIGT,HBV00000QX2AI,HBV00000PV5YE,SGBRAUNEB25,HBV00000PKHK4,HBV00000SP881,ZYGUR014353,HBV00000SP883,ZYHPKEMALSOS008
HBV00000NH2LJ,HBV00000NH2LJ,HBV00000QU3VR,HBV00000NE1AV,HBV00000PVCA7,ZYDOGUS90719107118,HBV00000OE7R9,ZYULKERSBZ003,HBV00000NG8IV,ZYHPULKER3IN015,HBV00000NH2LL,HBV00000PLHES
HBV00000NVZ7D,HBV00000NVZ7D,HBV00000OEL6U,HBV00000NVZ7H,HBV00000P7QOY,HBV00000OEL6S,HBV00000NVZ7F,HBV00000PQKZS,HBV00000PQL8P,HBV00000OE7BW,HBV00000PNGBI,HBV00000OE7T6
HBV00000NVZCG,HBV00000NVZCG,HBV00000NVZCE,HBV00000PUQCU,HBV00000TIRUB,HBV00000OE7UF,HBV00000NVZ9S,HBV00000O2S62,HBV00000OE7QQ,HBV00000O2SHR,HBV00000NVZCM,HBV00000PQL0N
HBV00000OEL9Q,HBV00000OEL9Q,HBV00000QUFR0,HBV00000PV6XB,HBV00000PQKZU,HBV00000QX2LT,HBV00000PVCVV,HBV00000SP88K,HBV00000PQLI6,HBV00000PV7IS,HBV00000PQLHD,HBV00000PQP3B
